City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Antofagasta,75,CL,1563923079,62,-23.65,-70.4,57.2,17.22
Novyy Urengoy,9,RU,1563923079,65,66.08,76.63,51.07,16.98
Ponta do Sol,17,BR,1563923079,67,-20.63,-46.0,60.79,5.21
Yuanping,22,CN,1563923079,50,38.72,112.71,73.93,7.05
San Andres,67,PH,1563923080,82,13.32,122.68,81.85,3.13
Port Hardy,40,CA,1563923080,63,50.7,-127.42,64.4,13.87
Francisco Sa,0,BR,1563923080,56,-16.48,-43.49,73.4,6.93
Airai,14,TL,1563923080,42,-8.93,125.41,75.91,0.22
Kutum,85,SD,1563923081,47,14.2,24.66,79.15,8.57
Bambanglipuro,96,ID,1563923081,84,-7.95,110.28,74.65,12.08
Tateyama,20,JP,1563923081,83,36.66,137.31,87.01,2.24
Tutoia,20,BR,1563923081,83,-2.76,-42.27,78.8,2.24
Kruisfontein,25,ZA,1563923082,73,-34.0,24.73,48.01,15.57
Date,75,JP,1563923082,94,42.53,140.93,75.99,10.29
Polson,1,US,1563922987,31,47.69,-114.16,91.4,6.93
Puerto Escondido,40,MX,1563923082,70,15.86,-97.07,86.0,5.82
Kharp,36,RU,1563923082,79,66.82,65.8,47.65,2.17
Emerald,0,AU,1563923083,71,-23.53,148.16,60.01,2.24
Nanakuli,20,US,1563923083,54,21.39,-158.15,89.01,18.34
Mount Isa,4,AU,1563923083,23,-20.73,139.49,64.4,11.41
Camacha,20,PT,1563923083,88,33.08,-16.33,71.6,10.29
Barra Patuca,48,HN,1563923083,78,15.8,-84.28,82.93,13.82
Kvarkeno,0,RU,1563923084,87,52.08,59.73,56.11,7.74
Luena,3,AO,1563923084,42,-11.78,19.91,49.27,2.71
Valleyview,66,CA,1563923084,88,55.07,-117.28,67.81,15.12
Cravo Norte,100,CO,1563923084,93,6.3,-70.2,76.27,4.7
Lamar,1,US,1563923085,27,38.09,-102.62,89.6,9.17
Codrington,0,AU,1563923085,87,-28.95,153.24,55.4,5.82
Ambilobe,18,MG,1563923085,67,-13.19,49.05,64.75,5.68
Chaozhou,20,CN,1563923085,100,23.66,116.62,77.0,1.01
The Valley,40,AI,1563922884,69,18.22,-63.06,86.0,14.99
Ferrandina,5,IT,1563923086,60,40.5,16.45,82.0,11.41
Ulaanbaatar,75,MN,1563923086,93,47.92,106.92,57.2,6.71
Tessalit,70,ML,1563923086,23,20.2,1.01,94.45,11.36
Kaniama,26,CD,1563922933,34,-7.57,24.18,61.69,4.29
Gebre Guracha,100,ET,1563923087,91,9.8,38.4,62.05,0.45
Shubarshi,80,KZ,1563923087,58,48.59,57.19,68.17,9.37
Pahrump,75,US,1563923087,21,36.21,-115.98,100.0,3.36
Buri,0,BR,1563923088,86,-23.8,-48.6,60.07,3.04
Salalah,90,OM,1563923088,94,17.01,54.1,78.8,3.36
Sharjah,0,AE,1563923088,50,25.36,55.39,96.8,11.41
Saint-Louis,0,SN,1563923088,83,16.03,-16.5,80.6,6.93
Mounana,96,GA,1563923089,76,-1.38,13.16,72.49,2.48
Chara,40,GR,1563923089,69,39.42,22.43,82.0,2.04
Blackwater,52,GB,1563923089,64,51.33,-0.78,77.0,9.17
Alyangula,100,AU,1563923089,68,-13.85,136.42,71.6,5.82
Niquero,31,CU,1563923090,72,20.04,-77.58,84.73,16.28
Vila do Maio,75,CV,1563923090,83,15.13,-23.22,77.0,18.34
Rabo de Peixe,75,PT,1563923090,94,37.8,-25.58,71.6,12.75
Malayal,75,PH,1563923090,100,7.21,121.94,75.2,3.36
Roebourne,82,AU,1563923091,19,-20.77,117.15,71.23,10.38
Upernavik,0,GL,1563923091,65,72.79,-56.15,48.73,6.2
Maragogi,7,BR,1563922961,94,-9.01,-35.22,69.79,4.21
Vikindu,1,TZ,1563923091,95,-6.98,39.3,64.93,6.8
Constitucion,75,MX,1563923091,38,23.99,-104.67,73.99,12.75
Chuy,100,UY,1563922847,90,-33.69,-53.46,53.41,11.54
Wamba,83,CD,1563923092,96,2.14,27.99,64.93,1.1
Grindavik,0,IS,1563923092,87,63.84,-22.43,59.0,5.82
Chinsali,0,ZM,1563923092,62,-10.55,32.07,48.91,4.65
Yacuiba,90,AR,1563923092,66,-22.01,-63.68,53.6,0.89
Hargeysa,82,SO,1563923093,56,9.56,44.06,69.79,27.54
Whitianga,68,NZ,1563923093,98,-36.83,175.7,54.0,3.18
Kamenka,30,MD,1563923093,91,48.03,28.7,55.0,4.34
Dragu,0,RO,1563923093,82,47.04,23.4,62.6,5.82
Ilulissat,75,GL,1563923094,58,69.22,-51.1,53.6,3.36
Birin,100,NP,1563923094,99,26.89,88.07,64.39,1.21
Norman Wells,20,CA,1563922898,44,65.28,-126.83,80.6,14.99
Marovoay,0,MG,1563923094,52,-16.11,46.64,68.0,9.17
Neyshabur,0,IR,1563923094,22,36.21,58.79,65.83,7.18
Vardo,40,US,1563923095,73,39.62,-77.74,75.99,3.36
Grand Gaube,40,MU,1563923095,88,-20.01,57.66,69.8,14.99
Havelock,40,US,1563923095,66,34.88,-76.9,86.0,24.16
Las Vegas,75,US,1563922946,17,36.17,-115.15,102.2,8.05
Faya,5,SA,1563923095,73,18.39,42.45,77.0,4.7
Solnechnyy,100,RU,1563923096,98,50.72,136.64,48.55,7.18
Nuevo Progreso,1,US,1563923096,55,26.05,-97.95,93.2,14.99
Puerto del Rosario,65,ES,1563923096,78,28.5,-13.86,71.6,19.46
Vallenar,0,CL,1563923096,93,-28.58,-70.76,39.91,2.17
Varhaug,20,NO,1563923097,93,58.61,5.65,60.8,3.91
Never,100,RU,1563923097,96,53.98,124.16,50.35,7.72
Kaeo,2,NZ,1563923097,72,-35.1,173.78,60.01,8.99
Clyde River,40,CA,1563922992,48,70.47,-68.59,66.2,9.17
Hirara,40,JP,1563923098,94,24.8,125.28,82.4,3.36
Westerland,0,NL,1563923098,83,52.89,4.93,73.99,12.75
Takapau,83,NZ,1563923098,94,-40.02,176.35,51.01,4.36
Altamira,67,BR,1563923098,72,-3.2,-52.21,75.91,1.95
At-Bashi,0,KG,1563923099,63,41.17,75.81,53.05,4.0
Macusani,100,PE,1563923099,96,-14.07,-70.43,30.55,7.67
Flin Flon,20,CA,1563922832,30,54.77,-101.88,86.0,10.29
Shenzhen,40,CN,1563923099,83,22.54,114.05,88.0,5.82
Jumla,92,NP,1563923100,96,29.28,82.18,56.11,2.01
Portland,20,US,1563923100,73,43.66,-70.25,70.0,5.82
Pisco,90,PE,1563923100,30,-13.71,-76.2,71.6,19.46
Kinkala,50,CG,1563923100,61,-4.35,14.75,72.31,7.45
Beian,75,NO,1563923101,93,63.66,9.57,64.0,3.36
Dobroye,40,RU,1563923101,100,52.86,39.81,60.8,2.24
Mahajanga,0,MG,1563923101,52,-15.72,46.32,68.0,9.17
Samoded,94,RU,1563923102,97,63.61,40.52,52.15,7.18
Lagunas,88,PE,1563923102,98,-5.23,-75.68,71.95,2.73
Sinnamary,62,GF,1563923102,80,5.38,-52.96,80.95,11.01
Labuhan,60,ID,1563923103,70,-2.54,115.51,74.11,0.47
Yar-Sale,4,RU,1563923103,70,66.83,70.83,46.75,13.76
Beaverlodge,75,CA,1563923103,64,55.21,-119.43,75.2,9.17
Klaksvik,100,FO,1563923103,100,62.23,-6.59,55.4,13.87
Macau,20,BR,1563923103,73,-5.11,-36.64,76.27,17.85
Inhambane,0,MZ,1563923104,76,-23.87,35.38,58.63,9.44
Cap Malheureux,40,MU,1563923104,88,-19.98,57.61,69.8,14.99
Maralal,70,KE,1563923104,87,1.1,36.7,60.25,1.25
Nemuro,13,JP,1563923104,86,43.32,145.57,61.51,16.04
Caohe,42,CN,1563923105,85,32.93,105.08,73.99,3.98
Kholodnyy,80,RU,1563923105,37,62.72,147.95,53.95,7.65
Tahe,100,CN,1563923105,98,52.34,124.71,49.45,3.8
Kuching,75,MY,1563923105,94,1.56,110.34,77.0,3.36
Carauari,66,BR,1563923106,92,-4.88,-66.9,74.65,1.07
Umm Lajj,0,SA,1563923106,71,25.02,37.27,85.45,4.16
Yenagoa,100,NG,1563922836,94,4.92,6.26,73.93,2.86
Olga,1,US,1563923106,29,34.11,-118.17,100.99,11.41
Kango,95,GA,1563923106,86,0.19,10.1,72.85,2.35
Chicama,20,PE,1563923107,82,-7.84,-79.15,64.4,12.75
Batagay,33,RU,1563923107,32,67.65,134.64,66.91,4.94
Luderitz,33,NA,1563923107,93,-26.65,15.16,57.2,2.24
Lima,90,PE,1563923099,82,-12.06,-77.04,62.6,11.41
Palmer,75,AU,1563922865,93,-34.85,139.16,53.01,8.05
Stenlille,0,DK,1563923108,100,55.79,12.21,66.0,4.14
Peno,66,RU,1563923108,87,56.92,32.74,55.75,4.32
Nizhnevartovsk,0,RU,1563923108,87,60.93,76.58,60.8,6.71
Vila Velha,0,BR,1563923108,74,-3.71,-38.6,86.0,10.29
Ulladulla,20,AU,1563923109,50,-35.36,150.48,59.0,20.8
Margate,40,AU,1563923109,73,-43.03,147.26,48.0,9.17
San Rafael,9,AR,1563923093,38,-34.61,-68.33,41.89,5.21
Ponta Delgada,75,PT,1563923109,94,37.73,-25.67,71.6,12.75
Winslow,59,GB,1563923110,64,51.94,-0.88,77.0,11.41
Godeanu,0,RO,1563923110,92,44.8,22.61,55.57,3.74
Port Hawkesbury,90,CA,1563923110,100,45.62,-61.36,66.0,2.24
Zabol,0,IR,1563923110,10,31.03,61.49,85.81,11.7
Boralday,75,KZ,1563923111,52,43.36,76.86,68.0,6.71
Agua Verde,75,MX,1563923111,62,22.89,-105.97,87.8,9.17
Yulara,0,AU,1563923111,42,-25.24,130.99,48.2,9.17
Cabedelo,0,BR,1563923111,94,-6.97,-34.84,75.2,4.7
Reconquista,100,AR,1563923112,88,-29.14,-59.64,47.83,15.43
Mongu,1,ZM,1563923112,37,-15.27,23.14,51.25,3.62
Soto la Marina,95,MX,1563923112,49,23.77,-98.21,89.41,11.95
Penzance,47,GB,1563923112,93,50.12,-5.53,66.99,5.82
Seguin,20,US,1563923113,31,29.57,-97.96,93.2,12.75
Mabaruma,81,GY,1563923113,95,8.2,-59.78,74.11,2.86
Bacungan,75,PH,1563923113,88,9.87,118.73,77.0,4.7
Bhatkal,100,IN,1563923113,86,13.97,74.57,78.61,7.61
Kununurra,2,AU,1563923114,32,-15.77,128.74,66.2,3.36
Vikhorevka,40,RU,1563923114,93,56.12,101.17,59.0,1.63
Kerrobert,20,CA,1563923114,45,51.92,-109.14,88.0,9.17
Maceio,75,BR,1563922835,83,-9.67,-35.74,75.2,5.82
Broken Hill,90,AU,1563923114,71,-31.97,141.45,51.8,8.05
Rio Gallegos,20,AR,1563923115,74,-51.62,-69.22,33.8,5.82
Quimper,0,FR,1563923115,72,48.0,-4.1,66.99,3.36
Tiksi,11,RU,1563923115,64,71.64,128.87,42.97,6.46
Carnot,100,CF,1563923115,95,4.94,15.87,68.71,2.48
San Luis,79,AR,1563922887,53,-33.3,-66.34,47.83,19.13
Samarai,18,PG,1563923116,71,-10.62,150.67,76.27,10.69
Moerai,78,PF,1563923116,90,-22.43,-151.33,73.21,13.04
Macapa,20,BR,1563923116,83,0.05,-51.07,84.2,11.41
Riverton,1,US,1563923116,21,43.02,-108.38,91.99,5.82
Mandalgovi,0,MN,1563923117,65,45.76,106.27,62.23,4.14
Cochrane,100,CL,1563923088,92,-47.25,-72.57,26.23,2.15
Riyadh,0,SA,1563922922,13,24.63,46.72,91.4,3.44
Tuatapere,0,NZ,1563923117,99,-46.13,167.69,43.0,3.0
Najran,0,SA,1563923117,14,17.54,44.22,91.4,8.05
Ishigaki,20,JP,1563922890,88,24.34,124.16,82.4,2.24
Fort Nelson,20,CA,1563923118,37,58.81,-122.69,84.2,4.7
Ewa Beach,40,US,1563923118,48,21.32,-158.01,89.01,19.46
Sale,20,AU,1563922892,87,-38.11,147.06,45.0,9.71
Lixourion,0,GR,1563923118,48,38.2,20.43,78.01,11.23
Bainbridge,90,US,1563922891,100,30.9,-84.58,80.6,11.52
Opuwo,0,NA,1563923119,73,-18.06,13.84,47.11,1.77
Sobolevo,74,RU,1563923119,97,54.43,31.9,56.29,7.09
Agirish,47,RU,1563923119,67,61.92,63.02,57.73,8.75
Gat,18,SN,1563923120,78,14.69,-16.54,86.0,11.41
Tigil,18,RU,1563923120,44,57.8,158.67,53.95,10.04
Eureka,90,US,1563923044,82,40.8,-124.16,62.6,9.17
Beringovskiy,98,RU,1563923120,58,63.05,179.32,51.25,2.8
Santiago del Estero,92,AR,1563923121,39,-27.8,-64.26,49.63,12.01
Wasilla,90,US,1563923121,53,61.58,-149.44,75.0,9.17
Greenfield,1,US,1563922955,68,42.59,-72.6,73.4,3.31
Poshekhonye,96,RU,1563923121,93,58.5,39.12,57.19,7.4
Springbok,2,ZA,1563923122,89,-29.67,17.88,49.45,10.76
Zambezi,0,ZM,1563923122,39,-13.55,23.12,52.87,3.67
Camabatela,11,AO,1563923122,75,-8.19,15.37,60.25,2.01
Dingle,100,PH,1563923122,85,11.0,122.67,78.61,2.86
Seoul,90,KR,1563923013,88,37.57,126.98,78.8,4.7
Sal Rei,90,CV,1563923123,83,16.18,-22.92,75.2,11.41
Kalach-na-Donu,0,RU,1563923123,60,48.69,43.52,69.01,8.95
Pundaguitan,100,PH,1563923123,77,6.37,126.17,80.77,2.68
Tutora,0,RO,1563923123,82,47.13,27.78,62.01,4.7
Progreso,0,UY,1563923124,81,-34.68,-56.22,53.01,11.41
Ostrovnoy,94,RU,1563923124,78,68.05,39.51,47.29,2.35
Tura,95,RU,1563923124,50,64.27,100.22,68.89,3.29
Lusambo,7,CD,1563923124,34,-4.97,23.44,66.55,0.78
Erenhot,15,CN,1563923125,43,43.65,111.97,75.01,9.51
Nuqui,75,CO,1563923125,94,5.71,-77.27,69.8,2.24
Mokhsogollokh,0,RU,1563923125,38,61.4,128.95,69.25,2.84
Gari,5,RU,1563923125,81,59.43,62.35,53.95,5.97
Muana,76,BR,1563923126,74,-1.53,-49.22,76.27,3.8
Kenora,75,CA,1563923126,37,49.76,-94.48,84.2,6.93
Gboko,100,NG,1563923126,94,7.32,9.0,73.03,9.42
Talara,0,PE,1563922916,290,-4.58,-81.27,62.6,10.29
Zhicheng,57,CN,1563923126,45,35.04,112.59,91.03,0.83
Takaungu,82,KE,1563923127,74,-3.68,39.86,67.99,9.22
Biak,97,ID,1563923127,87,-0.91,122.88,60.43,4.52
Englehart,40,CA,1563922840,63,47.82,-79.87,64.4,12.75
Trinidad,75,BO,1563923067,74,-14.83,-64.9,84.2,3.36
Nizwa,10,OM,1563923127,76,22.93,57.53,74.29,2.17
Aksha,51,RU,1563923128,76,50.28,113.29,57.55,8.48
Abalak,43,NE,1563923128,45,15.46,6.28,88.69,11.32
Camalu,97,MX,1563923128,83,30.85,-116.07,67.45,9.51
La Rioja,7,AR,1563923128,47,-29.41,-66.86,38.47,0.81
Verkhnevilyuysk,0,RU,1563923129,50,63.45,120.31,72.31,0.45
Gizo,0,IL,1563923129,78,31.8,34.94,78.8,3.36
Tres Arroyos,17,AR,1563923129,45,-38.38,-60.28,40.63,4.36
Huarmey,100,PE,1563923129,86,-10.07,-78.15,62.41,21.63
Praya,40,ID,1563923129,100,-8.71,116.27,69.8,1.12
Kourou,83,GF,1563923130,94,5.16,-52.64,77.0,2.51
Habiganj,100,BD,1563923130,90,24.38,91.42,79.33,6.22
Valparaiso,20,US,1563922852,60,41.47,-87.06,77.0,11.41
Kamaishi,75,JP,1563923130,94,39.28,141.86,71.6,1.12
Pathein,100,MM,1563923131,88,16.78,94.73,80.77,10.22
Akdepe,0,TM,1563923131,50,42.05,59.39,84.2,7.56
Jacareacanga,63,BR,1563923131,57,-6.22,-57.76,77.35,1.63
Meulaboh,100,ID,1563923131,80,4.14,96.13,81.49,9.33
Tocopilla,70,CL,1563922921,80,-22.09,-70.2,56.11,14.47
Saldanha,65,PT,1563923132,53,41.42,-6.55,70.69,2.01
Naryan-Mar,73,RU,1563923132,79,67.67,53.09,49.27,8.3
Selikhino,100,RU,1563923132,94,50.37,137.51,54.67,15.12
Seydi,0,NE,1563923132,51,13.34,7.75,85.09,10.56
Saqqez,0,IR,1563923132,36,36.24,46.27,64.57,3.94
Kuytun,100,RU,1563923133,83,54.34,101.51,64.21,4.43
Tomatlan,57,MX,1563923133,74,19.93,-105.25,85.27,18.54
Hayden,1,US,1563923133,26,47.77,-116.79,97.0,4.7
Cabo San Lucas,75,MX,1563923043,78,22.89,-109.91,90.0,13.87
Alice Springs,0,AU,1563923134,45,-23.7,133.88,42.8,4.7
Sitka,0,US,1563923134,43,37.17,-99.65,84.0,5.01
Le Havre,2,FR,1563922921,35,49.49,0.11,86.0,6.93
Tottori,40,JP,1563923134,83,35.5,134.23,80.6,3.36
Muroto,75,JP,1563923135,88,33.37,134.14,77.0,1.12
Yanam,98,IN,1563923135,89,16.73,82.22,78.79,4.21
Sanger,1,US,1563923135,28,36.71,-119.56,104.0,5.82
Kloulklubed,75,PW,1563923135,94,7.04,134.26,77.0,5.82
Jackville,20,CI,1563923136,100,5.21,-4.42,75.2,4.7
Dakar,7,SN,1563922929,78,14.69,-17.45,80.6,11.41
Praia da Vitoria,20,PT,1563923136,78,38.73,-27.07,77.0,24.54
Omboue,55,GA,1563923136,85,-1.57,9.26,73.75,14.74
Tupaciguara,0,BR,1563923137,52,-18.59,-48.7,68.0,4.7
Montreal,75,CA,1563922898,39,45.5,-73.61,78.8,12.75
Le Pradet,0,FR,1563923137,44,46.44,1.83,80.6,5.82
Santa Isabel do Rio Negro,72,BR,1563923137,94,-0.41,-65.02,74.11,2.44
Assiniboia,66,CA,1563923138,35,49.63,-105.99,85.45,5.73
Suoyarvi,97,RU,1563923138,98,62.08,32.35,53.77,6.44
Cairns,90,AU,1563922857,73,-16.92,145.77,72.0,12.75
Paciran,37,ID,1563923138,82,-6.9,112.33,71.77,7.18
High Level,75,CA,1563923139,37,58.52,-117.13,82.4,2.24
Phalaborwa,0,ZA,1563923139,33,-23.95,31.14,59.0,3.36
Emilio Carranza,75,MX,1563923139,87,19.97,-96.61,79.15,0.54
Pearl Lagoon,75,NI,1563923139,88,12.34,-83.67,82.4,4.7
Port Hedland,98,AU,1563923140,31,-20.31,118.58,64.4,8.05
Bani Walid,0,LY,1563923140,71,31.76,14.0,64.21,1.48
Skjervoy,91,NO,1563923140,93,70.03,20.97,53.77,14.0
Bongandanga,5,CD,1563923140,84,1.51,21.07,71.59,1.72
Moshi,20,TZ,1563923141,93,-3.36,37.34,55.4,5.77
Masumbwe,0,TZ,1563923141,46,-3.65,32.16,60.79,2.35
Erzin,0,TR,1563923141,94,36.95,36.2,80.01,2.24
Turayf,0,SA,1563923141,28,31.68,38.65,82.4,11.41
Tawang,100,BT,1563923142,96,27.59,91.87,58.45,0.47
Atar,57,MR,1563923142,23,20.52,-13.05,96.79,14.9
Broome,0,GB,1563923142,82,52.47,1.45,73.4,4.7
Hasaki,75,JP,1563923142,94,35.73,140.83,77.0,4.7
Marawi,100,PH,1563923143,91,8.0,124.29,75.0,4.0
Nizhnyaya Poyma,0,RU,1563923143,63,56.16,97.2,64.93,3.67
Half Moon Bay,90,US,1563922910,87,37.46,-122.43,79.0,11.41
Dalhousie,1,CA,1563923144,46,48.06,-66.37,73.4,5.82
Neuquen,0,AR,1563923076,93,-38.95,-68.06,51.8,2.24
Srednekolymsk,100,RU,1563923144,77,67.46,153.71,44.41,14.63
Mayumba,8,GA,1563923144,88,-3.44,10.65,70.51,9.08
Kavaratti,100,IN,1563923145,75,10.57,72.64,82.39,20.11
Clonmel,97,IE,1563923145,95,52.35,-7.7,63.0,1.99
Vilcun,0,CL,1563923145,81,-38.65,-72.23,44.6,5.82
Biri,0,HU,1563923145,72,47.81,21.85,68.0,6.93
Gijon,0,ES,1563923103,93,43.54,-5.66,69.01,1.12
Rundu,0,NA,1563923146,32,-17.91,19.77,55.4,2.24
Kota Belud,75,MY,1563922873,88,6.35,116.43,78.01,4.7
